,种植成本/(元/亩)
0,733.0025820498489
1,814.4473133887211
2,814.4473133887211
3,651.5578507109768
4,570.1131193721047
5,586.4020656398792
6,733.0025820498489
7,651.5578507109768
8,570.1131193721047
9,570.1131193721047
10,570.1131193721047
11,586.4020656398792
12,733.0025820498489
13,586.4020656398792
14,651.5578507109768
15,586.4020656398792
16,651.5578507109768
17,814.4473133887211
18,651.5578507109768
19,570.1131193721047
20,570.1131193721047
21,1628.8946267774422
22,651.5578507109768
23,3257.7892535548845
24,733.0025820498489
25,570.1131193721047
26,3257.7892535548845
27,814.4473133887211
28,2606.2314028439073
29,3257.7892535548845
30,3257.7892535548845
31,3257.7892535548845
32,3257.7892535548845
33,3257.7892535548845
34,3257.7892535548845
35,814.4473133887211
36,1628.8946267774422
37,814.4473133887211
38,1107.6483462086608
39,1107.6483462086608
40,1954.6735521329304
41,4886.683880332326
42,3257.7892535548845
43,4886.683880332326
44,4886.683880332326
45,4886.683880332326
46,5701.131193721048
47,3257.7892535548845
48,3257.7892535548845
49,3257.7892535548845
50,3257.7892535548845
51,3257.7892535548845
52,3909.3471042658607
53,16288.946267774418
54,3909.3471042658607
55,16288.946267774418
56,1954.6735521329304
57,16288.946267774418
58,3909.3471042658607
59,16288.946267774418
60,3909.3471042658607
61,16288.946267774418
62,3909.3471042658607
63,16288.946267774418
64,3909.3471042658607
65,16288.946267774418
66,5701.131193721048
67,16288.946267774418
68,3257.7892535548845
69,3257.7892535548845
70,16288.946267774418
71,1954.6735521329304
72,16288.946267774418
73,3583.5681789103724
74,4300.2818146924465
75,4300.2818146924465
76,6271.244313093151
77,3583.5681789103724
78,3583.5681789103724
79,1954.6735521329304
80,4886.683880332326
