,平均价
0,3.5
1,3.0
2,3.0
3,3.25
4,7.0
5,6.75
6,3.5
7,7.5
8,8.25
9,7.0
10,6.75
11,6.75
12,3.5
13,6.75
14,6.0
15,7.5
16,3.25
17,3.0
18,5.5
19,3.5
20,40.0
21,1.5
22,3.25
23,3.25
24,3.5
25,8.25
26,3.75
27,2.5
28,5.75
29,2.5
30,6.25
31,2.5
32,5.5
33,2.5
34,8.0
35,2.5
36,6.75
37,3.25
38,7.0
39,7.0
40,6.75
41,57.5
42,5.25
43,57.5
44,5.5
45,57.5
46,6.5
47,19.0
48,5.75
49,19.0
50,5.0
51,19.0
52,6.5
53,16.0
54,6.5
55,16.0
56,6.75
57,16.0
58,8.0
59,100.0
60,8.0
61,100.0
62,5.5
63,100.0
64,6.25
65,100.0
66,7.0
67,100.0
68,5.25
69,5.0
70,100.0
71,7.25
72,100.0
73,6.8
74,7.5
75,6.6
76,8.4
77,6.9
78,6.300000000000001
79,4.8
80,6.9
