作物1,作物2,皮埃尔系数,相关性
黄豆,黑豆,-0.8339,负相关
黄豆,红豆,-0.888,负相关
黄豆,绿豆,-0.4582,负相关
黄豆,爬豆,-0.719,负相关
黄豆,小麦,-0.6116,负相关
黄豆,玉米,-0.1689,负相关
黄豆,谷子,0.7878,正相关
黄豆,高粱,0.9932,正相关
黄豆,黍子,-0.2949,负相关
黄豆,荞麦,0.6158,正相关
黄豆,南瓜,-0.3037,负相关
黄豆,红薯,-0.9934,负相关
黄豆,莜麦,0.547,正相关
黄豆,大麦,0.4052,正相关
黄豆,水稻,-0.9792,负相关
黄豆,豇豆,-0.1664,负相关
黄豆,刀豆,0.8681,正相关
黄豆,芸豆,0.556,正相关
黄豆,土豆,-0.3163,负相关
黄豆,西红柿,0.1743,正相关
黄豆,茄子,-0.0644,负相关
黄豆,菠菜,0.4556,正相关
黄豆,青椒,0.9812,正相关
黄豆,菜花,-0.9804,负相关
黄豆,包菜,-0.0563,负相关
黄豆,油麦菜,-0.5121,负相关
黄豆,小青菜,-0.9931,负相关
黄豆,黄瓜,0.29,正相关
黄豆,生菜,0.7622,正相关
黄豆,辣椒,0.4933,正相关
黄豆,空心菜,0.2454,正相关
黄豆,黄心菜,0.2175,正相关
黄豆,芹菜,0.0987,正相关
黄豆,大白菜,-0.1954,负相关
黄豆,白萝卜,0.9773,正相关
黄豆,红萝卜,0.2548,正相关
黄豆,榆黄菇,0.4688,正相关
黄豆,香菇,-0.8622,负相关
黄豆,白灵菇,-0.2233,负相关
黄豆,羊肚菌,0.4353,正相关
黑豆,红豆,0.3288,正相关
黑豆,绿豆,0.378,正相关
黑豆,爬豆,0.2551,正相关
黑豆,小麦,0.5122,正相关
黑豆,玉米,0.7379,正相关
黑豆,谷子,0.5708,正相关
黑豆,高粱,-0.4666,负相关
黑豆,黍子,-0.9716,负相关
黑豆,荞麦,0.4385,正相关
黑豆,南瓜,-0.5277,负相关
黑豆,红薯,0.3269,正相关
黑豆,莜麦,0.8556,正相关
黑豆,大麦,0.2623,正相关
黑豆,水稻,0.7775,正相关
黑豆,豇豆,0.1296,正相关
黑豆,刀豆,0.5638,正相关
黑豆,芸豆,-0.478,负相关
黑豆,土豆,0.9791,正相关
黑豆,西红柿,0.7375,正相关
黑豆,茄子,0.1899,正相关
黑豆,菠菜,-0.9304,负相关
