作物1,作物2,皮埃尔系数,相关性
黄豆,黑豆,-0.5627,负相关
黄豆,红豆,0.8334,正相关
黄豆,绿豆,0.2213,正相关
黄豆,爬豆,0.4605,正相关
黄豆,小麦,-0.4226,负相关
黄豆,玉米,-0.7503,负相关
黄豆,谷子,-0.6255,负相关
黄豆,高粱,0.0524,正相关
黄豆,黍子,-0.1504,负相关
黄豆,荞麦,-0.2338,负相关
黄豆,南瓜,-0.8273,负相关
黄豆,红薯,0.6008,正相关
黄豆,莜麦,-0.4687,负相关
黄豆,大麦,-0.5629,负相关
黄豆,水稻,-0.4859,负相关
黄豆,豇豆,-0.6975,负相关
黄豆,刀豆,-0.1237,负相关
黄豆,芸豆,-0.3738,负相关
黄豆,土豆,-0.6606,负相关
黄豆,西红柿,0.2465,正相关
黄豆,茄子,0.2156,正相关
黄豆,菠菜,-0.8678,负相关
黄豆,青椒,-0.9029,负相关
黄豆,菜花,-0.6898,负相关
黄豆,包菜,-0.0687,负相关
黄豆,油麦菜,-0.2319,负相关
黄豆,小青菜,0.5057,正相关
黄豆,黄瓜,-0.48,负相关
黄豆,生菜,0.6934,正相关
黄豆,辣椒,-0.0207,负相关
黄豆,空心菜,0.2724,正相关
黄豆,黄心菜,0.0558,正相关
黄豆,芹菜,-0.9517,负相关
黄豆,大白菜,0.4592,正相关
黄豆,白萝卜,-0.8217,负相关
黄豆,红萝卜,0.1942,正相关
黄豆,榆黄菇,-0.3775,负相关
黄豆,香菇,-0.0854,负相关
黄豆,白灵菇,0.5247,正相关
黄豆,羊肚菌,-0.5643,负相关
黑豆,红豆,-0.0257,负相关
黑豆,绿豆,0.6635,正相关
黑豆,爬豆,0.7278,正相关
黑豆,小麦,0.0116,正相关
黑豆,玉米,-0.7394,负相关
黑豆,谷子,0.3954,正相关
黑豆,高粱,-0.5424,负相关
黑豆,黍子,-0.0539,负相关
黑豆,荞麦,0.093,正相关
黑豆,南瓜,0.8859,正相关
黑豆,红薯,-0.9869,负相关
黑豆,莜麦,0.8728,正相关
黑豆,大麦,-0.4814,负相关
黑豆,水稻,-0.4297,负相关
黑豆,豇豆,-0.8328,负相关
黑豆,刀豆,0.9268,正相关
黑豆,芸豆,-0.3576,负相关
黑豆,土豆,0.8082,正相关
黑豆,西红柿,0.9965,正相关
黑豆,茄子,-0.1754,负相关
黑豆,菠菜,-0.7021,负相关
黑豆,青椒,-0.3336,负相关
黑豆,菜花,-0.5911,负相关
黑豆,包菜,0.0357,正相关
黑豆,油麦菜,0.9041,正相关
黑豆,小青菜,0.3148,正相关
黑豆,黄瓜,0.5589,正相关
黑豆,生菜,0.5053,正相关
黑豆,辣椒,0.2785,正相关
黑豆,空心菜,0.097,正相关
黑豆,黄心菜,0.0726,正相关
黑豆,芹菜,0.7641,正相关
黑豆,大白菜,0.2011,正相关
黑豆,白萝卜,0.4641,正相关
黑豆,红萝卜,0.5832,正相关
黑豆,榆黄菇,-0.8297,负相关
黑豆,香菇,-0.7626,负相关
黑豆,白灵菇,0.7973,正相关
黑豆,羊肚菌,0.6106,正相关
红豆,绿豆,0.7029,正相关
红豆,爬豆,-0.7891,负相关
红豆,小麦,0.0669,正相关
红豆,玉米,0.1684,正相关
红豆,谷子,0.2164,正相关
红豆,高粱,-0.4586,负相关
红豆,黍子,-0.3347,负相关
红豆,荞麦,-0.8253,负相关
红豆,南瓜,-0.8062,负相关
红豆,红薯,-0.0062,负相关
红豆,莜麦,-0.0626,负相关
红豆,大麦,0.3672,正相关
红豆,水稻,-0.8481,负相关
红豆,豇豆,-0.9433,负相关
红豆,刀豆,0.7564,正相关
红豆,芸豆,0.3307,正相关
红豆,土豆,-0.2554,负相关
红豆,西红柿,-0.1537,负相关
红豆,茄子,-0.8208,负相关
红豆,菠菜,-0.5918,负相关
红豆,青椒,0.1552,正相关
红豆,菜花,-0.4123,负相关
红豆,包菜,0.8353,正相关
红豆,油麦菜,-0.9081,负相关
红豆,小青菜,-0.977,负相关
红豆,黄瓜,0.4599,正相关
红豆,生菜,-0.3043,负相关
红豆,辣椒,0.6932,正相关
红豆,空心菜,0.6253,正相关
红豆,黄心菜,0.255,正相关
红豆,芹菜,0.3847,正相关
红豆,大白菜,0.2522,正相关
红豆,白萝卜,-0.5555,负相关
红豆,红萝卜,0.198,正相关
红豆,榆黄菇,0.283,正相关
红豆,香菇,0.5765,正相关
红豆,白灵菇,0.4499,正相关
红豆,羊肚菌,0.9012,正相关
绿豆,爬豆,0.7845,正相关
绿豆,小麦,-0.7631,负相关
绿豆,玉米,-0.1648,负相关
绿豆,谷子,0.0562,正相关
绿豆,高粱,0.9669,正相关
绿豆,黍子,-0.1648,负相关
绿豆,荞麦,0.3877,正相关
绿豆,南瓜,-0.0774,负相关
绿豆,红薯,0.1559,正相关
绿豆,莜麦,-0.4827,负相关
绿豆,大麦,0.983,正相关
绿豆,水稻,0.9023,正相关
绿豆,豇豆,0.7828,正相关
绿豆,刀豆,0.0982,正相关
绿豆,芸豆,0.2244,正相关
绿豆,土豆,-0.4074,负相关
绿豆,西红柿,-0.6231,负相关
绿豆,茄子,0.3882,正相关
绿豆,菠菜,-0.2807,负相关
绿豆,青椒,-0.2904,负相关
绿豆,菜花,0.5506,正相关
绿豆,包菜,0.575,正相关
绿豆,油麦菜,0.0324,正相关
