作物1,作物2,回归值,相关性
黄豆,黑豆,-0.213,互补性
黄豆,红豆,0.7535,可替代性
黄豆,绿豆,0.5695,可替代性
黄豆,爬豆,0.7855,可替代性
黄豆,小麦,-0.6755,互补性
黄豆,玉米,0.0565,可替代性
黄豆,谷子,-0.9361,互补性
黄豆,高粱,0.1977,可替代性
黄豆,黍子,-0.548,互补性
黄豆,荞麦,-0.3936,互补性
黄豆,南瓜,-0.0719,互补性
黄豆,红薯,-0.8502,互补性
黄豆,莜麦,0.6642,可替代性
黄豆,大麦,-0.536,互补性
黄豆,水稻,-0.1181,互补性
黄豆,豇豆,0.0378,可替代性
黄豆,刀豆,-0.3982,互补性
黄豆,芸豆,0.0859,可替代性
黄豆,土豆,-0.7035,互补性
黄豆,西红柿,-0.7754,互补性
黄豆,茄子,0.7213,可替代性
黄豆,菠菜,0.9303,可替代性
黄豆,青椒,0.0823,可替代性
黄豆,菜花,0.9866,可替代性
黄豆,包菜,0.5361,可替代性
黄豆,油麦菜,-0.373,互补性
黄豆,小青菜,0.9681,可替代性
黄豆,黄瓜,0.9348,可替代性
黄豆,生菜,0.2584,可替代性
黄豆,辣椒,0.3641,可替代性
黄豆,空心菜,0.1635,可替代性
黄豆,黄心菜,0.5692,可替代性
黄豆,芹菜,0.8115,可替代性
黄豆,大白菜,-0.8898,互补性
黄豆,白萝卜,0.0177,可替代性
黄豆,红萝卜,-0.2224,互补性
黄豆,榆黄菇,-0.4681,互补性
黄豆,香菇,-0.5645,互补性
黄豆,白灵菇,0.8246,可替代性
黄豆,羊肚菌,0.6039,可替代性
黑豆,红豆,0.3768,可替代性
黑豆,绿豆,0.1885,可替代性
黑豆,爬豆,-0.501,互补性
黑豆,小麦,0.1951,可替代性
黑豆,玉米,0.9741,可替代性
黑豆,谷子,-0.2977,互补性
黑豆,高粱,0.961,可替代性
黑豆,黍子,0.9811,可替代性
黑豆,荞麦,0.2038,可替代性
黑豆,南瓜,-0.0134,互补性
黑豆,红薯,-0.9775,互补性
黑豆,莜麦,0.2128,可替代性
黑豆,大麦,-0.8981,互补性
黑豆,水稻,-0.1032,互补性
黑豆,豇豆,-0.0563,互补性
黑豆,刀豆,0.5926,可替代性
黑豆,芸豆,0.4808,可替代性
黑豆,土豆,0.7734,可替代性
黑豆,西红柿,-0.9629,互补性
黑豆,茄子,0.4582,可替代性
黑豆,菠菜,-0.8521,互补性
黑豆,青椒,0.6724,可替代性
黑豆,菜花,-0.6357,互补性
黑豆,包菜,-0.0412,互补性
黑豆,油麦菜,-0.5298,互补性
黑豆,小青菜,0.9608,可替代性
黑豆,黄瓜,-0.5611,互补性
黑豆,生菜,0.9195,可替代性
黑豆,辣椒,0.1442,可替代性
黑豆,空心菜,0.0237,可替代性
黑豆,黄心菜,0.324,可替代性
黑豆,芹菜,0.9067,可替代性
黑豆,大白菜,0.3358,可替代性
黑豆,白萝卜,-0.7787,互补性
黑豆,红萝卜,-0.6138,互补性
黑豆,榆黄菇,-0.6834,互补性
黑豆,香菇,0.9039,可替代性
黑豆,白灵菇,-0.5483,互补性
黑豆,羊肚菌,0.9647,可替代性
红豆,绿豆,-0.0489,互补性
红豆,爬豆,-0.2017,互补性
红豆,小麦,-0.5845,互补性
红豆,玉米,0.1535,可替代性
红豆,谷子,0.4195,可替代性
红豆,高粱,0.9273,可替代性
红豆,黍子,-0.7481,互补性
红豆,荞麦,-0.8328,互补性
红豆,南瓜,-0.7166,互补性
红豆,红薯,0.6058,可替代性
